Model,Accuracy (%),Parameters (M),Model Size (MB),Inference Time (ms),Memory Usage (MB),Training Time (s),Best Val Acc (%)
Conformer,98.34,1.23,4.7,1.08,158.6,,
CNN,96.68,2.62,10.0,0.27,31.0,370.1,93.54
LSTM,97.67,0.90,3.5,0.06,65.2,367.4,94.88
